"推 ",cake51640,": m 10","06/07 15:23"
"→ ",cake51640,": 810打820還是省省吧","06/07 15:23"
"→ ",cake51640,": 通訊行找大家推薦的 續約都不太划算不管是通訊行還","06/07 15:24"
"→ ",cake51640,": 是直營店","06/07 15:24"
"推 ",guest0926,": 目前兩隻都蠻穩定的吧 還是買當年旗艦好一點","06/07 15:26"
"推 ",s213092921,": 10一票","06/07 15:26"
"推 ",rexaooil,": 等不到xp就10吧","06/07 15:27"
"推 ",Sconepuff,": 根本不在同一個等級上","06/07 15:27"
"→ ",JuiFu617,": 天馬10","06/07 15:30"
"→ ",n946,": htc 10 +1","06/07 15:35"
"推 ",MBAR,": 10相機勝喇叭勝音質勝，就是續航差一點跟沒防水","06/07 15:40"
"推 ",rogner,": 10續航也贏呀","06/07 15:43"
"推 ",henry770804,": 懶X比雞腿?","06/07 15:48"
"推 ",jimei2,": 續航10>Z5P 數據差不多是因為測試亮度僅78nits","06/07 15:49"
"推 ",rogner,": phonearena兩支一樣 gsmarena 10贏","06/07 15:52"
"推 ",david7112123,": s820比較好～","06/07 15:55"
"推 ",william12tw,": 10","06/07 15:57"
"→ ",AndyZer,": youtube播放時間 10,4H57M Z5P,4H08M","06/07 15:59"
"推 ",rockmanalpha,": X Performance定價有點誇張啊...","06/07 16:01"
"推 ",rexaooil,": 從htc10.s7推出定價來看 xp定價還好吧","06/07 16:06"
"推 ",Askalaphos,": 就賣外觀 XDD","06/07 16:06"
"推 ",rogner,": XP確認定價比當初估計定價好","06/07 16:06"
"推 ",rockmanalpha,": 覺得3G RAM的配置定價可以低一點","06/07 16:07"
"推 ",phaseshift,": 你在htc版想問什麼","06/07 16:07"
"推 ",rogner,": HTC板......想太多","06/07 16:08"
"推 ",rockmanalpha,": 不過螢幕用FHD是德政","06/07 16:09"
"推 ",gerald655034,": 兩隻的處理器  10跑的比Z5P快非常多","06/07 16:12"
"→ ",gerald655034,": 論續航  10畢竟比較新  還有boost+","06/07 16:13"
"推 ",Pornograph,": 看你在哪裡問 在這當然是htc","06/07 16:14"
"→ ",gerald655034,": 論音質  不能比...  10好太多了","06/07 16:14"
"→ ",gerald655034,": 論相機  還是10的光學前後防手震贏","06/07 16:15"
"→ ",gerald655034,": 然而Z5P比較便宜一些","06/07 16:16"
"→ ",passionyeh,": 這不就像是問XP和M9該選那一支一樣嗎?","06/07 16:16"
"推 ",Sconepuff,": 反正信仰機輸他牌就直接把這個版扣一個帽子","06/07 16:18"
"→ ",Sconepuff,": 直接放大招 說這是某某品牌版 頗好笑的XD","06/07 16:18"
"推 ",gerald655034,": 真的....不同期的手機比較沒有預算限制根本不用比","06/07 16:19"
