"CityName","TownName","VilCode","VilName","NesatAndHaitang","Megi"
"台北市","松山區","6300100-002","莊敬里",121.06470919482,567.055478817387
"台北市","松山區","6300100-003","東榮里",121.937139128497,278.847137166806
"台北市","松山區","6300100-004","三民里",107.912972477149,244.293170856438
"台北市","松山區","6300100-005","新益里",12.3644826418835,113.689887574235
"台北市","松山區","6300100-006","富錦里",17.2366106899862,67.4535677986759
"台北市","松山區","6300100-007","新東里",27.6506066016532,106.878969069953
"台北市","松山區","6300100-008","富泰里",15.9950886112047,74.5272939029292
"台北市","松山區","6300100-009","介壽里",13.1989462279236,114.067356395556
"台北市","松山區","6300100-010","精忠里",22.0359407506018,252.737069795553
"台北市","松山區","6300100-011","東光里",120.852635795163,229.67923000423
"台北市","松山區","6300100-012","龍田里",396.59190775758,737.555985753639
"台北市","松山區","6300100-013","東昌里",22.7578049123333,60.8985058852685
"台北市","松山區","6300100-014","東勢里",13.5065505301865,197.975012859238
"台北市","松山區","6300100-015","中華里",18.8113442072519,73.1542173659917
"台北市","松山區","6300100-016","民有里",295.041646926275,312.526703370085
"台北市","松山區","6300100-017","民福里",125.175013310433,342.977214838872
"台北市","松山區","6300100-018","慈祐里",374.897872925975,190.078814701199
"台北市","松山區","6300100-019","安平里",324.7248539051,254.93442912015
"台北市","松山區","6300100-020","鵬程里",26.1118972043495,272.116453969242
"台北市","松山區","6300100-021","自強里",400.42578990364,344.72178218928
"台北市","松山區","6300100-022","吉祥里",236.76886324726,637.606724790189
"台北市","松山區","6300100-024","新聚里",256.384465693105,409.783885933012
"台北市","松山區","6300100-025","復盛里",18.8113442072519,73.5940733659917
"台北市","松山區","6300100-026","中正里",411.835666712051,246.980053634423
"台北市","松山區","6300100-027","中崙里",13.2224362279236,113.572402109842
"台北市","松山區","6300100-028","美仁里",8.65927835360866,81.0569432028292
"台北市","松山區","6300100-029","吉仁里",12.1252311302974,152.059381604832
"台北市","松山區","6300100-030","敦化里",18.4796072846073,280.754013271342
"台北市","松山區","6300100-031","復源里",14.5386704686674,79.6364245259805
"台北市","松山區","6300100-032","復建里",13.2785982358898,97.8545458717646
"台北市","松山區","6300100-033","復勢里",26.8883083584688,278.93243555382
"台北市","松山區","6300100-034","福成里",8.09451034959741,70.3107554025012
"台北市","松山區","6300100-035","松基里",14.0679671482753,135.797343030849
"台北市","信義區","6300200-001","西村里",109.406202092067,251.930495802484
"台北市","信義區","6300200-002","正和里",15.5532407420342,119.347787799003
"台北市","信義區","6300200-003","興隆里",11.2404599166543,76.2404844137111
"台北市","信義區","6300200-004","中興里",13.9237070281433,128.688968257901
"台北市","信義區","6300200-005","新仁里",11.8460708877622,259.633325823773
"台北市","信義區","6300200-006","興雅里",17.6400106602434,68.4237922153802
"台北市","信義區","6300200-007","敦厚里",17.5916432352737,96.9300668847429
"台北市","信義區","6300200-008","廣居里",160.088541098958,491.762117432647
"台北市","信義區","6300200-009","安康里",559.091894871749,247.925245168021
"台北市","信義區","6300200-010","六藝里",9.55502016291838,275.099625923963
"台北市","信義區","6300200-011","雅祥里",23.0623697621646,96.8312046128146
"台北市","信義區","6300200-012","五常里",11.0238657244324,169.521677616347
"台北市","信義區","6300200-013","五全里",15.3871161520551,80.0533718613617
"台北市","信義區","6300200-014","永吉里",12.2803251397134,198.893031338461
"台北市","信義區","6300200-015","長春里",13.2225266355975,135.335694883106
"台北市","信義區","6300200-016","四育里",18.2045094542694,188.850981316087
"台北市","信義區","6300200-017","四維里",19.3842707136372,66.9567052555691
"台北市","信義區","6300200-018","永春里",15.9781716465729,165.345485676307
"台北市","信義區","6300200-019","富臺里",16.3439129822014,53.8457059296372
"台北市","信義區","6300200-020","國業里",121.161389128497,236.44061000423
"台北市","信義區","6300200-021","松隆里",183.718144065026,601.132980600533
"台北市","信義區","6300200-022","松友里",122.413166740196,224.392956600437
"台北市","信義區","6300200-023","松光里",17.2775848257887,71.834021900123
"台北市","信義區","6300200-024","中坡里",133.239701060128,327.661844907737
"台北市","信義區","6300200-025","中行里",199.58055928794,793.220424079016
"台北市","信義區","6300200-026","大道里",17.799437070932,66.5892265808164
"台北市","信義區","6300200-027","大仁里",13.2225266355975,124.971542066947
"台北市","信義區","6300200-028","景新里",26.2072153289481,172.809327749256
"台北市","信義區","6300200-029","惠安里",123.365376971166,530.394662439618
"台北市","信義區","6300200-030","三張里",342.865716581498,446.25861401175
"台北市","信義區","6300200-031","三犁里",145.323620259249,456.055389307583
"台北市","信義區","6300200-032","六合里",165.752857789773,947.707586361956
"台北市","信義區","6300200-033","泰和里",215.412728682377,361.259805807189
"台北市","信義區","6300200-034","景聯里",69.6242297943585,118.483853219408
"台北市","信義區","6300200-035","景勤里",124.851322273657,126.715136400446
"台北市","信義區","6300200-036","雙和里",163.835345211768,227.43072285563
"台北市","信義區","6300200-037","嘉興里",12.8319959715672,74.4246549649773
"台北市","信義區","6300200-038","黎順里",129.194997218479,275.695268652079
"台北市","信義區","6300200-039","黎平里",152.552951777002,519.804735333531
"台北市","信義區","6300200-040","黎忠里",121.772336405125,402.601597958506
"台北市","信義區","6300200-041","黎安里",184.259550735909,581.549066722528
"台北市","大安區","6300300-001","德安里",18.9252170709321,64.590733247483
"台北市","大安區","6300300-002","仁慈里",16.427487162988,77.6091728264909
"台北市","大安區","6300300-003","和安里",88.3771983380508,63.7379668522274
"台北市","大安區","6300300-004","民炤里",219.558756482742,261.924013288841
"台北市","大安區","6300300-005","仁愛里",18.251626936518,118.335573200375
"台北市","大安區","6300300-006","義村里",23.2958669541676,96.4675748040394
"台北市","大安區","6300300-007","民輝里",51.6464924907762,241.480409636999
"台北市","大安區","6300300-008","昌隆里",11.2076770476149,79.6364245259805
"台北市","大安區","6300300-009","誠安里",14.2507081565247,112.834058765173
"台北市","大安區","6300300-010","光武里",205.614677349007,322.55633544719
"台北市","大安區","6300300-011","龍坡里",24.9469698708343,94.7466543671177
"台北市","大安區","6300300-012","龍泉里",15.2822328187217,80.0533718613617
"台北市","大安區","6300300-013","古風里",20.9161132002736,133.678083099203
"台北市","大安區","6300300-014","古莊里",159.133817708539,245.819544955538
"台北市","大安區","6300300-015","龍安里",428.97833004343,244.006320067141
"台北市","大安區","6300300-016","錦安里",18.1311739935767,66.0817354034539
"台北市","大安區","6300300-017","福住里",17.799437070932,64.590733247483
"台北市","大安區","6300300-018","永康里",30.5037460158286,145.200409033796
"台北市","大安區","6300300-019","光明里",17.0184989248629,278.93323219544
"台北市","大安區","6300300-020","錦泰里",75.9369798301037,86.5988568130879
"台北市","大安區","6300300-021","錦華里",19.3842707136372,66.9567052555691
